EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,PCO2TMP,C14ERR,HELIER,DELHER,PH_TMP,C13ERR,THETA,TRITER
    31DSCG94_1,     x,2,1,123,-1,2,19940128,754,44.235,-129.675,3671,10.1,11.7153,32.5364,2,32.5277,2,290.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,3.878,2,1.915,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,11.714,-999
    31DSCG94_1,     x,2,1,122,-1,2,19940128,754,44.235,-129.675,3671,399.6,5.3032,33.9583,2,33.9471,2,82.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,1.225,2,0.56,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,5.2711,-999
    31DSCG94_1,     x,2,1,121,-1,2,19940128,754,44.235,-129.675,3671,800.7,3.8236,34.2876,2,34.2771,4,-6.7,3,-999,9,-999,9,-999,9,-999,9,-999,9,0.035,2,0.014,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,3.7656,-999
    31DSCG94_1,     x,2,1,120,-1,2,19940128,754,44.235,-129.675,3671,1274.6,2.9218,34.4747,2,34.4655,3,-4.3,3,-999,9,-999,9,-999,9,-999,9,-999,9,0.082,4,0.005,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,2.8334,-999
    31DSCG94_1,     x,2,1,119,-1,2,19940128,754,44.235,-129.675,3671,1399.7,2.717,34.4971,2,34.499,2,-0.2,3,-999,9,-999,9,-999,9,-999,9,-999,9,0.128,4,0.007,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,2.6207,-999
    31DSCG94_1,     x,2,1,118,-1,2,19940128,754,44.235,-129.675,3671,1524,2.4716,34.5261,2,34.5051,4,6.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.123,4,0.011,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,2.3681,-999
    31DSCG94_1,     x,2,1,117,-1,2,19940128,754,44.235,-129.675,3671,1648.1,2.2589,34.5523,2,34.5526,2,15.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.251,4,0.009,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,2.1479,-999
    31DSCG94_1,     x,2,1,116,-1,2,19940128,754,44.235,-129.675,3671,1777.7,2.0798,34.5715,2,34.5633,3,22.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.046,4,0.005,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,1.9607,-999
    31DSCG94_1,     x,2,1,115,-1,2,19940128,754,44.235,-129.675,3671,1893.7,1.9586,34.5917,2,34.5839,3,32,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.112,4,0.005,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,1.8317,-999
    31DSCG94_1,     x,2,1,114,-1,2,19940128,754,44.235,-129.675,3671,2023.2,1.8845,34.6056,2,34.5973,3,37.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,-999,-999,-999,-999,1.748,-999
