EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,DCNS,ARABI,ARABI_FLAG_W,FUCO,FUCO_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,RHAM,RHAM_FLAG_W,BRDU,BRDU_FLAG_W,THETA,HELIER,DELHER
3.2502E+11,       P16N,1,2,34,34,2,20060214,1218,-17.0002,-149.9995,1935,6.4,28.7363,35.862,2,35.8617,4,197.4,2,195.6,2,0.1,2,0,6,0,6,0.13,6,1.527,2,0.977,2,-999,5,-999,9,2349.4,2,-999,9,-999,8.1372,2,25,0.554,2,0.003,1.6945,2,-1.81,2,-999,9,-999,9,-9,6.617,2,0.02,73.7,2,4.71,2,6.4,0.051,2,0.034,2,0.011,2,0.005,2,0.026,2,0.0255,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,28.7348,0.0051,0.14
3.2502E+11,       P16N,1,2,35,35,2,20060214,1218,-17.0002,-149.9995,1935,6.5,28.7364,35.8621,2,-999,9,197.3,2,-999,9,0,2,0.1,6,0,6,0.13,6,-999,9,-999,9,-999,9,1990.1,6,-999,5,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,5,70.4,2,3.2,-999,9,-999,-999,9,-999,9,6.5,0.039,2,0.025,2,0.002,3,-0.001,4,0.0285,2,0.0285,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.44,2,28.7348,-999,-999
3.2502E+11,       P16N,1,2,33,33,2,20060214,1218,-17.0002,-149.9995,1935,24.3,28.6916,35.932,2,35.9354,4,198.3,2,196.3,2,0,2,0,6,0,6,0.13,6,-999,9,-999,9,-999,9,1995.6,2,2356.4,6,-999,9,-999,8.1385,2,25,0.491,2,0.003,1.7069,2,-1.63,2,-999,5,65.3,2,3.5,6.668,2,0.02,73.75,2,4.68,2,24.3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.56,2,28.6857,0.0051,0.14
3.2502E+11,       P16N,1,2,32,32,2,20060214,1218,-17.0002,-149.9995,1935,50.9,28.3956,36.007,2,36.0087,4,200.9,2,200.7,2,0.1,2,0.1,6,0,6,0.13,6,1.57,6,1.006,6,-999,5,2002,2,2362.7,2,-999,9,-999,-999,9,-999,0.564,2,0.003,1.709,2,-1.59,2,-999,5,68.9,2,3.9,6.692,2,0.02,73.27,2,4.61,2,50.9,0.108,2,0.081,2,0.024,2,0.01,2,0.0277,2,0.0252,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.41,2,28.3834,0.0051,0.14
3.2502E+11,       P16N,1,2,31,31,2,20060214,1218,-17.0002,-149.9995,1935,74.3,25.853,36.0684,2,36.0566,4,203.8,2,202.9,2,0.1,2,0.1,6,0,6,0.16,6,1.739,2,1.085,2,-999,5,2021.7,2,2368.4,2,-999,9,-999,8.1111,2,25,-999,9,-999,1.7124,2,-1.75,2,-999,5,71.2,2,3.5,6.749,2,0.02,66.88,2,4.03,2,74.3,0.122,2,0.088,2,0.029,2,0.014,2,0.027,2,0.0256,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.04,2,25.8365,0.0051,0.14
3.2502E+11,       P16N,1,2,30,30,2,20060214,1218,-17.0002,-149.9995,1935,100.4,25.1518,36.1152,2,36.1104,4,195.6,2,194.8,2,0.2,2,0.1,6,0,6,0.2,6,1.798,2,1.104,2,-999,5,2038.8,2,2374.7,2,-999,9,-999,8.0909,2,25,0.523,2,0.003,1.7256,2,-1.65,2,-999,5,72.4,2,3.5,6.813,2,0.02,62.62,2,3.75,2,100.4,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.17,2,25.1298,0.0052,0.14
3.2502E+11,       P16N,1,2,29,29,2,20060214,1218,-17.0002,-149.9995,1935,125.8,24.1107,35.994,2,35.9876,4,195.3,2,199,2,0.1,2,0.2,6,0.1,6,0.19,6,1.857,2,1.145,2,-999,5,2034.7,2,2362.1,2,-999,9,-999,8.0788,2,25,0.5,2,0.003,1.7243,2,-1.71,2,-999,5,77.7,2,3.6,6.853,2,0.021,62,2,4.34,2,125.8,0.121,2,0.088,2,0.029,2,0.016,2,0.0266,2,0.0252,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.04,2,24.084,0.0052,0.14
3.2502E+11,       P16N,1,2,28,28,2,20060214,1218,-17.0002,-149.9995,1935,149.8,23.5432,36.0108,2,36.0002,4,190.1,2,187.9,2,0.3,2,0.8,6,0.1,6,0.25,6,1.919,2,1.168,2,-999,5,2052.5,2,2364.8,2,-999,9,-999,8.0512,2,25,0.51,2,0.003,1.7337,2,-1.54,2,-999,5,77.1,2,2.3,6.891,2,0.021,57.84,2,4.89,2,149.8,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,0.05,2,23.5119,0.0052,0.14
3.2502E+11,       P16N,1,2,27,27,2,20060214,1218,-17.0002,-149.9995,1935,205.7,21.4596,35.9056,2,35.8674,4,173.8,2,172.7,2,0.8,2,3.5,6,0,6,0.42,6,2.084,2,1.234,2,-999,5,2085.1,2,2358.4,2,-999,9,-999,7.9824,2,25,0.461,2,0.003,1.7849,2,-0.78,2,-999,5,86.9,2,3.6,7.146,2,0.021,50.24,2,7.82,2,205.7,0.087,2,0.06,2,0.024,2,0.017,2,0.0248,2,0.0248,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,21.4194,0.0054,0.14
3.2502E+11,       P16N,1,2,26,26,2,20060214,1218,-17.0002,-149.9995,1935,231.2,21.0063,35.8496,2,35.8279,4,174.2,2,172.5,2,0.8,2,3.9,6,0,6,0.47,6,2.131,2,1.235,2,-999,5,2087.1,2,2356.2,2,-999,9,-999,7.9771,2,25,0.413,2,0.003,1.7433,2,-1.06,2,-999,5,89.2,2,3.6,7.053,2,0.021,49.42,2,8.17,2,231.2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,20.9618,0.0052,0.14
