EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,POC,POC_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DON,DON_FLAG_W,CHLORA,CHLORA_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,D18O_NO3,D18O_NO3_FLAG_W,CDOM2C,CDOM2C_FLAG_W,CDOM3C,CDOM3C_FLAG_W,LAB_DEN,LAB_DEN_FLAG_W,DELSI30,DELSI30_FLAG_W,N2,N2_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,HELIER,DELHER
33RO20071215,       TEST,998,1,24,11024,2,20071217,358,24.4593,-112.9065,2871,10.1,19.5549,33.9443,2,33.9448,2,230.9,2,-999,9,1.5,2,0.2,2,0,2,0.16,2,2.259,2,1.391,2,1.2768,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,19.5531,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,23,11023,2,20071217,358,24.4593,-112.9065,2871,10.1,19.5558,33.945,2,33.9423,2,230.9,2,-999,9,1.6,2,0.2,2,0,2,0.17,2,2.264,2,1.398,2,1.2839,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0.07,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,19.554,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,22,11022,2,20071217,358,24.4593,-112.9065,2871,50.6,16.1012,33.5553,2,33.6115,2,242.4,2,-999,9,2.7,2,0.4,2,0.04,2,0.27,2,2.84,2,1.69,2,1.3823,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0.14,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,16.0933,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,21,11021,2,20071217,358,24.4593,-112.9065,2871,75.2,13.8164,33.5928,2,33.5989,2,209.1,2,-999,9,6.3,2,6.4,2,0.03,2,0.61,2,3.067,2,1.799,2,1.3764,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0.11,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,13.8058,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,20,11020,2,20071217,358,24.4593,-112.9065,2871,124.9,11.5843,34.0214,2,34.0094,2,87.1,2,96.6,2,22.6,2,22.2,2,0.01,2,1.81,2,2.654,2,1.492,2,0.9301,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0.01,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,11.5686,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,19,11019,2,20071217,358,24.4593,-112.9065,2871,199.9,10.745,34.4624,2,34.4645,2,32.3,2,-999,9,35.2,2,27.2,2,0.01,2,2.4,2,1.292,2,0.702,2,0.3369,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,10.7209,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,18,11018,2,20071217,358,24.4593,-112.9065,2871,302.2,9.4886,34.509,2,34.5136,2,12.1,2,-999,9,44.6,2,29.5,2,0,2,2.68,2,-999,5,-999,5,-999,5,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,0,2,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,9.4547,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,15,11015,3,20071217,358,24.4593,-112.9065,2871,600.3,6.595,34.482,2,34.4862,2,5.2,2,-999,9,74.9,2,37.8,2,0,2,3.11,2,0.033,2,0.02,2,0.0536,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,6.5395,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,14,11014,3,20071217,358,24.4593,-112.9065,2871,701.1,5.8138,34.4727,2,34.4753,2,6.8,2,-999,9,84.6,2,40.4,2,0,2,3.17,2,0.018,2,0.011,2,0.0352,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,5.7526,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,13,11013,3,20071217,358,24.4593,-112.9065,2871,799.7,5.2951,34.4878,2,34.4889,2,8.3,2,-999,9,93,2,41.9,2,0,2,3.19,2,0.012,2,0.006,2,0.0649,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,5.2279,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
