EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,Silicate,SILCAT_FLAG_W,Nitrate,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,Phosphate,PHSPHT_FLAG_W,CFC11,CFC11_FLAG_W,CFC12,CFC12_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,tCO2,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TMP,SA,CT,pdens
31DSCG94_3,P18N,146,1,136,1025,2,19940414,106,0.335,-110.3333,3850,10.3,24.6343,35.0666,2,35.0671,2,252,2,185,6,5.44,2,5.84,2,0.25,2,0.66,4,1.77,2,0.981,2,-999,9,-999,9,2044.8,2,2305,6,25,35.23234265,24.62896257,23.50525986
31DSCG94_3,P18N,146,1,134,1216,2,19940414,106,0.335,-110.3333,3850,49.3,20.0403,34.7602,2,34.7698,2,72.9,2,134.4,6,9.43,2,11.59,2,0.44,2,1.04,4,1.455,2,0.815,2,-999,9,-999,9,2084.4,2,-999,5,25,34.92499987,20.0316158,24.57502679
31DSCG94_3,P18N,146,1,132,1003,2,19940414,106,0.335,-110.3333,3850,97.6,13.9903,34.8084,2,34.8098,2,98.5,2,107.1,6,19.13,2,18.55,2,0.03,2,1.45,4,-999,9,-999,9,-999,9,-999,9,2148.7,2,2295,2,25,34.97424072,13.96997007,26.04884955
31DSCG94_3,P18N,146,1,130,1241,2,19940414,106,0.335,-110.3333,3850,151.9,13.4132,34.8853,2,34.8846,2,106.8,2,103.5,6,18.91,2,20.02,2,0,2,1.52,4,-999,9,-999,9,-999,9,-999,9,2159.8,2,2296,2,25,35.05201759,13.38363813,26.22964695
31DSCG94_3,P18N,146,1,128,1032,2,19940414,106,0.335,-110.3333,3850,197.7,12.9616,34.8841,2,34.8837,2,78.8,2,70.9,6,21.1,2,24.68,2,0,2,1.81,4,-999,9,-999,9,-999,9,-999,9,2189.4,2,2298,2,25,35.05105371,12.92614813,26.32134234
31DSCG94_3,P18N,146,1,127,1008,2,19940414,106,0.335,-110.3333,3850,249,12.6206,34.8834,2,34.882,2,57.3,2,36.1,2,23.59,2,29.13,2,0,2,2.11,4,0.489,2,0.26,2,-999,9,-999,9,2219.9,2,2298,2,25,35.05059552,12.57861641,26.38986458
31DSCG94_3,P18N,146,1,126,1007,2,19940414,106,0.335,-110.3333,3850,299.7,12.1254,34.8553,2,34.8542,2,29.3,2,19,6,26.43,2,32.11,2,0,2,2.3,4,-999,9,-999,9,-999,9,-999,9,2237.8,2,2294,2,25,35.02266643,12.07811797,26.46553061
31DSCG94_3,P18N,146,1,123,1220,2,19940414,106,0.335,-110.3333,3850,400.1,9.6897,34.7078,2,34.7129,2,29.6,2,34.7,2,33.37,2,34.51,2,0.01,2,2.42,4,0.12,2,0.064,2,-999,9,-999,9,2246.6,2,2307,2,25,34.87537458,9.638988828,26.78904375
31DSCG94_3,P18N,146,1,122,1245,2,19940414,106,0.335,-110.3333,3850,498.5,8.0518,34.6263,2,34.625,2,29.3,2,32.2,2,43.19,2,39.4,2,0,2,2.71,4,-999,9,-999,9,-999,9,-999,9,2269.9,2,2312,2,25,34.79428458,7.997176081,26.98541307
31DSCG94_3,P18N,146,1,121,1206,2,19940414,106,0.335,-110.3333,3850,599.5,7.2025,34.5929,2,34.5923,2,39,2,40.2,2,50.33,2,40.41,2,0,2,2.78,4,0.016,2,0.006,2,-999,9,-999,9,2274.6,2,2311,2,25,34.76149493,7.141577509,27.08345551
31DSCG94_3,P18N,146,1,120,1028,2,19940414,106,0.335,-110.3333,3850,696.8,6.1874,34.5602,2,34.5595,2,48,2,56.2,2,57.96,2,40.81,2,0,2,2.83,4,-999,9,-999,9,-999,9,-999,9,2278.2,2,2325,2,25,34.72948215,6.122637922,27.19503434
31DSCG94_3,P18N,146,1,119,1248,2,19940414,106,0.335,-110.3333,3850,796.9,5.3363,34.55,2,34.5496,2,59.4,2,67.7,2,68.78,2,40.82,2,0,2,2.83,4,0.009,2,0.001,2,-999,9,-999,9,2287.6,2,2330,2,25,34.72012283,5.267526646,27.29328861
31DSCG94_3,P18N,146,1,118,1115,2,19940414,106,0.335,-110.3333,3850,901.2,4.983,34.5498,2,34.5507,2,71.2,2,73.8,2,76.8,2,39.99,2,0,2,2.84,4,-999,9,-999,9,-999,9,-999,9,2291.3,2,2338,2,25,34.72086094,4.907292577,27.33584226
31DSCG94_3,P18N,146,1,117,1119,2,19940414,106,0.335,-110.3333,3850,999.8,4.5916,34.5539,2,34.5543,2,75.1,2,78.9,2,84.7,2,41.31,2,0,2,2.86,2,0,2,0.001,2,-999,9,-999,9,2299,2,2343,2,25,34.72588002,4.510133377,27.38432632
31DSCG94_3,P18N,147,1,136,1025,2,19940414,659,0.665,-110.3367,3850,9.6,24.7247,35.0292,2,35.0355,2,198.4,2,192,6,4.52,2,5.92,2,0.26,2,0.67,2,1.751,2,0.984,2,-999,9,-999,9,2043.2,2,2298,6,25,35.19476207,24.72105239,23.4496419
