,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],NODC Accession Number,WOD Cruise Identifier,WOD Unique Cast,Platform,Project,Originator's Cruise,Originator's Station,Originator's Station Number,Investigator,Institution,Source,Instruments,Methods,pH Scale,Depth Correction Info,Depth [m],Temperature [degrees_C],Salinity [psu],Oxygen [~$m~#mol/kg],Phosphate,Silicate,Nitrate,Nitrite [~$m~#mol/kg],pH,Chlorophyll [~$m~#g/l],Plankton/Biomass,Alkalinity [meq/l],NO2+NO3 [~$m~#mol/kg],pCO~_2 [~$m~#atm],tCO2,Tritium [TU],Helium [nmol/kg],~$d~#~^3He [%],~$D~#~^1~^4C [~%],~$d~#~^1~^3C [~%],Argon [nmol/kg],Neon [nmol/kg],CFC11 [pmol/kg],CFC12 [pmol/kg],CFC113 [pmol/kg],~$d~#~^1~^8O [~%],Transmissivity [m~^-~^1],SA,CT,pdens
16,WOD_CANADA,8082279,B,1994-10-07T04:16,-165.4595,22.914,,,CA012536,8082279,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,599.82,5.6729,34.1343,57.5,2.76,72.6,37.6,,,,,2.366,,,1.987877734467398e+18,,,,,,,,0.032,0.0,,,,34.30362,5.62512,26.922936
17,WOD_CANADA,8082279,B,1994-10-07T04:16,-165.4595,22.914,,,CA012536,8082279,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,794.13,4.7001,34.360699,30.7,3.08,95.4,42.0,,,,,2.3935,,,2.0288682739257661e+18,,,,,,,,0.0,0.0,,,,34.534665,4.63747,27.219498
19,WOD_CANADA,8082279,B,1994-10-07T04:16,-165.4595,22.914,,,CA012536,8082279,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,599.82,5.6729,34.1343,57.5,2.76,72.6,37.6,,,,,2.366,,,1.987877734467398e+18,,,,,,,,0.032,0.0,,,,34.30362,5.62512,26.922936
20,WOD_CANADA,8082279,B,1994-10-07T04:16,-165.4595,22.914,,,CA012536,8082279,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,794.13,4.7001,34.360699,30.7,3.08,95.4,42.0,,,,,2.3935,,,2.0288682739257661e+18,,,,,,,,0.0,0.0,,,,34.534665,4.63747,27.219498
28,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,497.21,6.6731,34.1334,91.0,2.4,58.7,32.5,,,,,2.3469,,,1.9992052892976468e+18,,,,,,,,0.586,0.447,,,,34.300478,6.63099,26.792592
29,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,594.85,5.6433,34.237301,49.0,2.75,77.3,37.9,,,,,2.3705,,,2.0193594525567e+18,,,,,,,,0.104,0.489,,,,34.407215,5.59473,27.008048
30,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,793.54,4.8568,34.458199,50.1,2.9,91.2,40.1,,,,,2.4067,,,2.0286715107814344e+18,,,,,,,,0.006,0.092,,,,34.632254,4.792,27.279194
32,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,497.21,6.6731,34.1334,91.0,2.4,58.7,32.5,,,,,2.3469,,,1.9992052892976468e+18,,,,,,,,0.586,0.447,,,,34.300478,6.63099,26.792592
33,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,594.85,5.6433,34.237301,49.0,2.75,77.3,37.9,,,,,2.3705,,,2.0193594525567e+18,,,,,,,,0.104,0.489,,,,34.407215,5.59473,27.008048
34,WOD_CANADA,8082284,B,1994-10-08T04:48,-165.9933,20.8997,,,CA012536,8082284,JOHN P. TULLY (CCGS;Offshore Oceangr.Science Vessel;call sign CG2958;built 1985),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),18DD9403_1,,,,"INSTITUTE OF OCEAN SCIENCES (SIDNEY, B. C.)",,var2 = CTD: TYPE UNKNOWN,,,,793.54,4.8568,34.458199,50.1,2.9,91.2,40.1,,,,,2.4067,,,2.0286715107814344e+18,,,,,,,,0.006,0.092,,,,34.632254,4.792,27.279194
