Unnamed: 0,Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],NODC Accession Number,WOD Cruise Identifier,WOD Unique Cast,Platform,Project,Originator's Cruise,Originator's Station,Originator's Station Number,Investigator,Institution,Source,Instruments,Methods,pH Scale,Depth Correction Info,Depth [m],Temperature [degrees_C],Salinity [psu],Oxygen [~$m~#mol/kg],Phosphate,Silicate,Nitrate,Nitrite [~$m~#mol/kg],pH,Chlorophyll [~$m~#g/l],Plankton/Biomass,Alkalinity [meq/l],NO2+NO3 [~$m~#mol/kg],pCO~_2 [~$m~#atm],tCO2,Tritium [TU],Helium [nmol/kg],~$d~#~^3He [%],~$D~#~^1~^4C [~%],~$d~#~^1~^3C [~%],Argon [nmol/kg],Neon [nmol/kg],CFC11 [pmol/kg],CFC12 [pmol/kg],CFC113 [pmol/kg],~$d~#~^1~^8O [~%],Transmissivity [m~^-~^1],SA,CT,pdens,Nstar,CT_resid,SA_resid,Phosphate_resid,Nitrate_resid,Silicate_resid,tCO2_resid,13CW_frac_total,NEPIW_frac_total,AAIW_frac_total,13CW_frac,NEPIW_frac,AAIW_frac,aerobic_remin,anaerobic_remin,Nitrate_to_aerobic_remin_ratio,Phosphate_to_aerobic_remin_ratio,Silicate_to_aerobic_remin_ratio,tCO2_to_aerobic_remin_ratio,Nitrate_to_anaerobic_remin_ratio,Phosphate_to_anaerobic_remin_ratio,Silicate_to_anaerobic_remin_ratio,tCO2_to_anaerobic_remin_ratio
1320,WOD_UNITED STATES,7550776,B,1994-04-15T23:19,-110.3333,3.0,3770.0,,US013600,7550776,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,395.72,9.6141,34.6866,9.6,2.68,38.13,35.71,,7.42,,,2.3606,,1686.8,2225.683916739955,,,,,,,,0.065,0.036,,,,34.854243,9.56422,26.785512,-7.170000000000002,0.24655962256896044,0.018967569275301976,0.050882890830726044,0.9026453923901544,0.7013753702740688,0.11648225870188716,0.1676370886216799,0.2942464298788076,0.13094398374853475,0.1676370886216799,0.2942464298788076,0.13094398374853475,0.02521892045692263,0.0,0.7510504603064281,7.021666937153402e-17,9.012605523677141,5.007003068709523,,,,
1329,WOD_UNITED STATES,7550776,B,1994-04-15T23:19,-110.3333,3.0,3770.0,,US013600,7550776,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,395.72,9.6141,34.6866,9.6,2.68,38.13,35.71,,7.42,,,2.3606,,1686.8,2225.683916739955,,,,,,,,0.065,0.036,,,,34.854243,9.56422,26.785512,-7.170000000000002,0.24655962256896044,0.018967569275301976,0.050882890830726044,0.9026453923901544,0.7013753702740688,0.11648225870188716,0.1676370886216799,0.2942464298788076,0.13094398374853475,0.1676370886216799,0.2942464298788076,0.13094398374853475,0.02521892045692263,0.0,0.7510504603064281,7.021666937153402e-17,9.012605523677141,5.007003068709523,,,,
1364,WOD_UNITED STATES,7550784,B,1994-04-16T12:12,-110.33481,4.002,3868.0,,US013600,7550784,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,495.45,8.4277,34.643299,8.0,2.88,46.12,38.79,,7.39,,,2.3637,,1810.0,2283.4766405296136,0.03,1.7743,7.42,-117.9,-0.1,,,0.02,0.008,,,,34.811826,8.37129,26.942846,-7.289999999999999,0.07096505432410312,0.001367867736249077,0.04190788444335018,0.9537647605003345,0.26842959307406034,0.135304001303515,0.008728304079762531,0.02928395405785443,0.02268915132482561,0.008728304079762531,0.02928395405785443,0.02268915132482561,0.027188327163922214,0.001262671092118667,1.1999412125345277,3.510833468576701e-17,14.399294550414329,7.999608083563519,,,,
1374,WOD_UNITED STATES,7550784,B,1994-04-16T12:12,-110.33481,4.002,3868.0,,US013600,7550784,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,495.45,8.4277,34.643299,8.0,2.88,46.12,38.79,,7.39,,,2.3637,,1810.0,2283.4766405296136,0.03,1.7743,7.42,-117.9,-0.1,,,0.02,0.008,,,,34.811826,8.37129,26.942846,-7.289999999999999,0.07096505432410312,0.001367867736249077,0.04190788444335018,0.9537647605003345,0.26842959307406034,0.135304001303515,0.008728304079762531,0.02928395405785443,0.02268915132482561,0.008728304079762531,0.02928395405785443,0.02268915132482561,0.027188327163922214,0.001262671092118667,1.1999412125345277,3.510833468576701e-17,14.399294550414329,7.999608083563519,,,,
1380,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,198.5,11.602,34.734001,30.1,2.4,28.48,32.06,,7.51,,,2.3534,,1314.9,2228.9054704297114,,,,,,,,0.324,0.179,,,,34.900643,11.57128,26.467937,-6.339999999999996,0.1269188974960563,0.011062974926693192,0.06482625520563794,0.9150576987153725,0.3455821708370623,0.13149109372873813,0.1037431778373087,0.19013654673200264,0.08849939153208444,0.1037431778373087,0.19013654673200264,0.08849939153208444,0.033088102065865745,0.0,0.9681131602592858,9.930136612989092e-17,11.617357923111422,6.454087735061905,,,,
1383,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,496.43,8.2981,34.628399,4.6,2.97,46.77,39.2,,7.38,,,2.3688,,1857.6,2288.522084775145,,,,,,,,0.016,0.005,,,,34.797023,8.24233,26.950981,-8.32,0.05834916330840006,0.0011847545849423427,0.04297235379026157,0.878519102540085,0.17966764249313727,0.11790544565793346,1.778621166320776e-16,0.014809432311776715,0.014809432311776706,1.778621166320776e-16,0.014809432311776715,0.014809432311776706,0.026716643724793536,0.0031566664747184124,1.1999999999939934,0.0,14.399999999927926,7.9999999999599565,,,,
1384,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,597.3,7.1919,34.5877,6.9,3.13,55.72,41.99,,7.36,,,2.3811,,1947.4,2301.472020355333,,,,,,,,0.3,0.003,,,,34.757125,7.13089,27.081789,-8.089999999999996,0.04839591751186509,0.0009826582235915656,0.041036803118548376,0.9470519212553723,0.1874851058528927,0.13715189879228815,9.453856253967506e-17,0.012283227794889506,0.01228322779488949,9.453856253967506e-17,0.012283227794889506,0.01228322779488949,0.02422653494937337,0.0,5.453068315189624e-13,0.0,6.541259860030928e-12,3.6331794779168785e-12,,,,
1389,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,198.5,11.602,34.734001,30.1,2.4,28.48,32.06,,7.51,,,2.3534,,1314.9,2228.9054704297114,,,,,,,,0.324,0.179,,,,34.900643,11.57128,26.467937,-6.339999999999996,0.1269188974960563,0.011062974926693192,0.06482625520563794,0.9150576987153725,0.3455821708370623,0.13149109372873813,0.1037431778373087,0.19013654673200264,0.08849939153208444,0.1037431778373087,0.19013654673200264,0.08849939153208444,0.033088102065865745,0.0,0.9681131602592858,9.930136612989092e-17,11.617357923111422,6.454087735061905,,,,
1392,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,496.43,8.2981,34.628399,4.6,2.97,46.77,39.2,,7.38,,,2.3688,,1857.6,2288.522084775145,,,,,,,,0.016,0.005,,,,34.797023,8.24233,26.950981,-8.32,0.05834916330840006,0.0011847545849423427,0.04297235379026157,0.878519102540085,0.17966764249313727,0.11790544565793346,1.778621166320776e-16,0.014809432311776715,0.014809432311776706,1.778621166320776e-16,0.014809432311776715,0.014809432311776706,0.026716643724793536,0.0031566664747184124,1.1999999999939934,0.0,14.399999999927926,7.9999999999599565,,,,
1393,WOD_UNITED STATES,7550792,B,1994-04-17T01:45,-110.33499,4.995,4219.0,,US013600,7550792,DISCOVERER (R/V;c.s.WTEA;built 1966;decommissioned as NOAA Ship 1997;IMO6600814),WORLD OCEAN CIRCULATION EXPERIMENT (WOCE),31DSCG94_3,,,,"US DOC NOAA ERL PMEL (SEATTLE, WA)",,var2 = CTD: TYPE UNKNOWN,,,,597.3,7.1919,34.5877,6.9,3.13,55.72,41.99,,7.36,,,2.3811,,1947.4,2301.472020355333,,,,,,,,0.3,0.003,,,,34.757125,7.13089,27.081789,-8.089999999999996,0.04839591751186509,0.0009826582235915656,0.041036803118548376,0.9470519212553723,0.1874851058528927,0.13715189879228815,9.453856253967506e-17,0.012283227794889506,0.01228322779488949,9.453856253967506e-17,0.012283227794889506,0.01228322779488949,0.02422653494937337,0.0,5.453068315189624e-13,0.0,6.541259860030928e-12,3.6331794779168785e-12,,,,
